"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","GT Power_0(Watt)","Cumulative GT Energy_0(Joules)","Cumulative GT Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"10:05:25:907","1007917563546","   0.201","  12.000"," 3500","  22.040","   2.214","   0.615","  10.219","   1.027","   0.285"," 69","0","   1.625","   0.163","   0.045","   0.000","   0.000","   0.000","  47.000","  750"
"10:05:26:005","1008163552406","   0.300","  12.000"," 3500","  22.458","   4.429","   1.230","  10.647","   2.077","   0.577"," 69","0","   1.691","   0.330","   0.092","   0.000","   0.000","   0.000","  47.000","  750"
"10:05:26:105","1008411398269","   0.399","  13.000"," 3600","  22.982","   6.712","   1.865","  11.021","   3.172","   0.881"," 70","0","   1.736","   0.503","   0.140","   0.000","   0.000","   0.000","  47.000","  750"
"10:05:26:205","1008660866513","   0.499","  14.000"," 3600","  23.287","   9.042","   2.512","  11.379","   4.310","   1.197"," 67","0","   1.764","   0.679","   0.189","   0.000","   0.000","   0.000","  47.000","  750"
"10:05:26:307","1008916747944","   0.602","  13.000"," 3600","  23.495","  11.452","   3.181","  11.417","   5.481","   1.523"," 67","0","   1.731","   0.857","   0.238","   0.000","   0.000","   0.000","  47.000","  750"
"10:05:26:405","1009159909834","   0.699","  13.000"," 3600","  23.287","  13.722","   3.812","  11.069","   6.560","   1.822"," 66","0","   1.802","   1.032","   0.287","   0.000","   0.000","   0.000","  47.000","  750"
"10:05:26:505","1009409269880","   0.799","  13.000"," 1700","  21.852","  15.907","   4.419","   9.600","   7.520","   2.089"," 65","0","   2.134","   1.246","   0.346","   0.000","   0.000","   0.000","  47.000","  750"
"10:05:26:603","1009654988095","   0.898","  18.000"," 1700","  11.663","  17.056","   4.738","   2.651","   7.781","   2.161"," 64","0","   1.934","   1.436","   0.399","   0.000","   0.000","   0.000","  47.000","  750"
"10:05:26:706","1009911332750","   1.001","  32.000"," 1700","  18.503","  18.957","   5.266","   8.430","   8.648","   2.402"," 65","0","   1.972","   1.639","   0.455","   0.000","   0.000","   0.000","  47.000","  750"
"10:05:26:805","1010157027910","   1.099","  21.000"," 1700","  10.523","  19.994","   5.554","   2.712","   8.915","   2.476"," 64","0","   1.659","   1.802","   0.501","   0.000","   0.000","   0.000","  47.000","  750"
"10:05:26:903","1010401728885","   1.197","  13.000"," 2500","  11.268","  21.099","   5.861","   3.313","   9.240","   2.567"," 65","0","   1.457","   1.945","   0.540","   0.000","   0.000","   0.000","  47.000","  750"
"10:05:27:003","1010651595285","   1.297","  15.000"," 1700","  11.520","  22.253","   6.182","   3.491","   9.590","   2.664"," 65","0","   1.545","   2.100","   0.583","   0.000","   0.000","   0.000","  47.000","  750"
"10:05:27:103","1010901314188","   1.398","  15.000"," 2500","  11.629","  23.418","   6.505","   3.591","   9.949","   2.764"," 65","0","   1.538","   2.254","   0.626","   0.000","   0.000","   0.000","  47.000","  750"
